Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002694956061444072,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.015898716138950556,0.8854379361913858
"Spinning to filament, Microfibers, Melt Spinning (POY)","market group for heat, district or industrial, natural gas",6.2,megajoule,0.2638125496464162,48.778641286226986,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)","market group for electricity, medium voltage",0.3,kilowatt hour,0.20563753633820622,38.0221472915858,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,5.2733121871770345,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,3.143202995787643,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",market for building machine,4.64e-07,unit,0.014710388877678216,2.7199342230189334,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)","building construction, hall",2.04e-05,square meter,0.007958165384371845,1.4714557556152117,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.4093352118795135,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.12578450490575874,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.07780333882815103,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.004412086942153167,0.5408361993898048
"Spinning to filament, Microfibers, Melt Spinning (POY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.026028816898809138,0.5408361993898048
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",0.912,kilowatt hour,0.6251381104487862,62.562099699518825,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",7.07,megajoule,0.3008314072590579,30.106378381213077,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.854201141129905,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,1.7012710909085502,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,1.4721751884928362,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,0.9838268571815995,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.2215543073084393,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.06808136228146736,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.04211136579529995,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.002388059560683687,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.014088200405713682,0.9992281484337622
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)","market group for heat, district or industrial, natural gas",7.07,megajoule,0.3008314072590579,49.58942085630771,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)","market group for electricity, medium voltage",0.342,kilowatt hour,0.2344267914286727,38.64320193848475,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,4.701268940550052,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,2.80223170816119,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",market for building machine,4.64e-07,unit,0.014710388877678216,2.4248786776008036,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)","building construction, hall",2.04e-05,square meter,0.007958165384371845,1.3118338144456918,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.36493096740263714,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.11213953680835939,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.06936331613237724,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.00393346848581995,0.606644324665051
"Spinning to filament, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), Melt Spinning (POY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.02320523877634169,0.606644324665051
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",0.8,kilowatt hour,0.5483667635444816,61.93169968114882,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",6.2,megajoule,0.2638125496464162,29.794583995597506,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,3.2210028560229103,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,1.9199064017318486,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,1.661368716580466,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,1.1102613166076605,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.250026897656608,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.07683069675451304,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.04752322026049989,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.0026949560612500945,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.015898716137806197,0.8854379362551179
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (POY)","market group for heat, district or industrial, natural gas",6.2,megajoule,0.2638125496464162,48.778641286226986,0.5408361993898048
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (POY)","market group for electricity, medium voltage",0.3,kilowatt hour,0.20563753633820622,38.0221472915858,0.5408361993898048
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,5.2733121871770345,0.5408361993898048
"Spinning to filament, Polyester (PET, PBT, PTT, PLA etc), Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,3.143202995787643,0.5408361993898048
